id;iso3;median;name
1;AGO;0.12311470153043821;Angola
2;ATG;0.5569593275017417;Antigua and Barbuda
3;BDI;0.5605686355226002;Burundi
4;BEN;0.3066190413475006;Benin
5;BFA;0.34958215301012996;Burkina Faso
6;BHS;0.039666084380957096;Bahamas
7;BLZ;0.1582803469000453;Belize
8;BRB;0.794751797403608;Barbados
9;BWA;0.05300203277312575;Botswana
10;CAF;0.10337363857477434;Central African Republic
11;CIV;0.3690951855186715;C?te d'Ivoire
12;CMR;0.13863826236913473;Cameroon
13;COD;0.1273241520236601;Democratic Republic of the Congo
14;COG;0.10725027845560559;Congo
15;COK;0.13017024942066358;Cook Islands
16;COM;0.3182597587152289;Comoros
17;CPV;0.23228915977584771;Cape Verde
18;CUB;0.30663004358114854;Cuba
19;DJI;0.1896959726872281;Djibouti
20;DMA;0.35347066819667816;Dominica
21;DOM;0.3417650821000757;Dominican Republic
22;ERI;0.22062749850498042;Eritrea
23;ETH;0.24020195184605939;Ethiopia
24;FJI;0.13865037132688332;Fiji
25;FSM;0.24071535945436745;Micronesia (Federated States of)
26;GAB;0.052355577697484515;Gabon
27;GHA;0.3574435673458566;Ghana
28;GIN;0.2324578699531611;Guinea
29;GMB;0.36908613277209146;Gambia
30;GNB;0.43158145876892684;Guinea-Bissau
31;GNQ;0.11530153571586597;Equatorial Guinea
32;GRD;0.6151786460234305;Grenada
33;GUY;0.01736192052945756;Guyana
34;HTI;0.7051835155398978;Haiti
35;JAM;0.5020008164082699;Jamaica
36;KEN;0.1698607796054129;Ilemi triangle
37;KEN;0.18164991492620994;Kenya
38;KIR;0.20187564488691775;Kiribati
39;KNA;0.5404236303723376;Saint Kitts and Nevis
40;LBR;0.14286575389121994;Liberia
41;LCA;0.46687092470086144;Saint Lucia
42;LSO;0.294864739846882;Lesotho
43;MDG;0.20897131118441542;Madagascar
44;MHL;0.19016735141093916;Marshall Islands
45;MLI;0.0683166655119883;Mali
46;MOZ;0.1465423443232389;Mozambique
47;MRT;0.017364421874408613;Mauritania
48;MUS;0.42004984078879565;Mauritius
49;MWI;0.4276313512421172;Malawi
50;NAM;0.04892690903089751;Namibia
51;NER;0.025843380321988275;Niger
52;NGA;0.6191494104029557;Nigeria
53;NIU;0.18467479944229126;Niue
54;NRU;0.5309848785400391;Nauru
55;PLW;0.1397403081258138;Palau
56;PNG;0.11921001198762045;Papua New Guinea
57;RWA;0.43167016595832236;Rwanda
58;SDN;0.12717578874486044;Sudan
59;SEN;0.2909434833686465;Senegal
60;SLB;0.09944201353904228;Solomon Islands
61;SLE;0.23242064282608485;Sierra Leone
62;SOM;0.1738272709961469;Somalia
63;SSD;0.19336261082282927;South Sudan
64;STP;0.19707883006105056;Sao Tome and Principe
65;SUR;0.017361710626438605;Suriname
66;SWZ;0.4785279506328863;Swaziland
67;SYC;0.34544597109862135;Seychelles
68;TCD;0.06835165164903478;Chad
69;TGO;0.404346811884791;Togo
70;TLS;0.3923229477154919;Timor-Leste
71;TON;0.29539008303716563;Tonga
72;TTO;0.44716749754783336;Trinidad and Tobago
73;TUV;0.18548661470413208;Tuvalu
74;TZA;0.19724854912192916;United Republic of Tanzania
75;UGA;0.4433382439900522;Uganda
76;VCT;0.52975167296115;Saint Vincent and the Grenadines
77;VUT;0.1387969428411541;Vanuatu
78;WSM;0.16651195505339178;Samoa
79;ZAF;0.12304795395804873;South Africa
80;ZMB;0.1503548177937772;Zambia
81;ZWE;0.22063442187867116;Zimbabwe